SequentialCutOff,Length,Size,Time
51200,600000,11,450.070353
102400,600000,11,349.280328
204800,600000,11,292.283655
409600,600000,11,389.984306
819200,600000,11,638.172296
50,700000,11,377.776098
100,700000,11,426.54688
200,700000,11,363.584197
400,700000,11,324.191173
800,700000,11,329.409333
1600,700000,11,316.350172
3200,700000,11,307.73006
6400,700000,11,348.246493
12800,700000,11,406.541057
25600,700000,11,439.013079
51200,700000,11,368.9983
102400,700000,11,451.645365
204800,700000,11,337.354372
409600,700000,11,583.609054
819200,700000,11,776.340393
50,800000,11,409.891223
100,800000,11,632.245941
200,800000,11,474.633726
400,800000,11,409.66029
800,800000,11,366.033956
1600,800000,11,521.476331
3200,800000,11,546.378872
6400,800000,11,459.530221
12800,800000,11,458.445067
25600,800000,11,500.538378
51200,800000,11,416.728249
102400,800000,11,580.645642
204800,800000,11,412.914351
409600,800000,11,510.966766
819200,800000,11,821.837053
50,900000,11,447.565077
100,900000,11,419.505514
200,900000,11,457.965006
400,900000,11,409.371507
800,900000,11,405.081746
1600,900000,11,393.979685
3200,900000,11,397.440885
6400,900000,11,394.421958
12800,900000,11,393.703498
25600,900000,11,397.887823
51200,900000,11,393.563073
102400,900000,11,410.171143
204800,900000,11,498.893386
409600,900000,11,394.108448
819200,900000,11,575.906611
50,1000000,11,425.719252
100,1000000,11,444.220975
200,1000000,11,450.574207
400,1000000,11,424.662091
800,1000000,11,433.777659
1600,1000000,11,449.722787
3200,1000000,11,446.225197
6400,1000000,11,434.072506
12800,1000000,11,432.366399
25600,1000000,11,454.88263
51200,1000000,11,435.363867
102400,1000000,11,462.169859
204800,1000000,11,530.984718
409600,1000000,11,456.736628
819200,1000000,11,628.53328
50,100000,13,50.446097
100,100000,13,55.790221
200,100000,13,55.411864
400,100000,13,49.963237
800,100000,13,54.530585
1600,100000,13,52.072895
3200,100000,13,54.60383
6400,100000,13,55.518699
12800,100000,13,56.850648
25600,100000,13,55.407198
51200,100000,13,90.098979
102400,100000,13,128.559406
204800,100000,13,121.87167
409600,100000,13,124.093296
819200,100000,13,121.78023
50,200000,13,110.820928
100,200000,13,107.904637
200,200000,13,110.354396
400,200000,13,103.924653
800,200000,13,106.531167
1600,200000,13,119.609924
3200,200000,13,109.864538
6400,200000,13,166.823888
12800,200000,13,215.032032
25600,200000,13,117.912214
51200,200000,13,109.169871
102400,200000,13,158.485096
204800,200000,13,237.066802
409600,200000,13,241.269321
819200,200000,13,263.748229
50,300000,13,161.196113
100,300000,13,158.059619
200,300000,13,181.878874
400,300000,13,177.537327
800,300000,13,162.598508
1600,300000,13,157.312701
3200,300000,13,165.814313
6400,300000,13,189.903223
12800,300000,13,180.997128
25600,300000,13,171.042737
51200,300000,13,195.110186
102400,300000,13,172.735781
204800,300000,13,227.3774
409600,300000,13,380.068636
819200,300000,13,363.079409
50,400000,13,224.602935
100,400000,13,225.641435
200,400000,13,223.845287
400,400000,13,230.472373
800,400000,13,221.350741
1600,400000,13,237.195565
3200,400000,13,245.417724
6400,400000,13,229.794969
12800,400000,13,291.044546
25600,400000,13,289.731725
51200,400000,13,338.571554
102400,400000,13,226.270786
204800,400000,13,300.335063
409600,400000,13,487.757269
819200,400000,13,477.806143
50,500000,13,279.366319
100,500000,13,377.563826
200,500000,13,265.035391
400,500000,13,359.648533
800,500000,13,289.403754
1600,500000,13,267.079734
3200,500000,13,266.030504
6400,500000,13,274.090776
12800,500000,13,264.633707
25600,500000,13,280.000336
51200,500000,13,278.07076
102400,500000,13,280.738389
204800,500000,13,267.164643
409600,500000,13,387.223837
819200,500000,13,595.586795
50,600000,13,324.252756
100,600000,13,308.526431
200,600000,13,321.393381
400,600000,13,322.146364
800,600000,13,386.602416
1600,600000,13,316.300253
3200,600000,13,341.866202
6400,600000,13,336.340132
12800,600000,13,342.354661
25600,600000,13,406.568583
51200,600000,13,382.031336
102400,600000,13,374.567292
204800,600000,13,424.15777
409600,600000,13,542.927003
819200,600000,13,768.806368
50,700000,13,362.34882
100,700000,13,367.467609
200,700000,13,375.605325
400,700000,13,371.677592
800,700000,13,388.082255
1600,700000,13,375.738286
3200,700000,13,366.522415
6400,700000,13,358.615632
12800,700000,13,368.603147
25600,700000,13,408.812135
51200,700000,13,402.273224
102400,700000,13,433.910153
204800,700000,13,364.809309
409600,700000,13,546.697047
819200,700000,13,825.806308
50,800000,13,437.26825
100,800000,13,425.125357
200,800000,13,420.569672
400,800000,13,433.068997
800,800000,13,419.120158
1600,800000,13,424.395701
3200,800000,13,428.45033
6400,800000,13,418.854701
12800,800000,13,424.509535
25600,800000,13,434.448065
51200,800000,13,419.684661
102400,800000,13,484.05114
204800,800000,13,413.760173
409600,800000,13,652.117402
819200,800000,13,943.715255
50,900000,13,482.035254
100,900000,13,471.701573
200,900000,13,473.40908
400,900000,13,461.626815
800,900000,13,464.037853
1600,900000,13,479.735719
3200,900000,13,466.25248
6400,900000,13,481.862172
12800,900000,13,455.981779
25600,900000,13,495.216182
51200,900000,13,501.13134
102400,900000,13,506.339702
204800,900000,13,595.675902
409600,900000,13,529.876705
819200,900000,13,820.835876
50,1000000,13,645.861676
100,1000000,13,759.755182
200,1000000,13,600.293635
400,1000000,13,646.554009
800,1000000,13,642.365952
1600,1000000,13,568.373987
3200,1000000,13,531.10695
6400,1000000,13,581.239072
12800,1000000,13,601.842987
25600,1000000,13,517.455759
51200,1000000,13,519.770691
102400,1000000,13,598.626717
204800,1000000,13,616.261157
409600,1000000,13,564.502705
819200,1000000,13,801.427214
50,100000,15,63.816903
100,100000,15,60.491463
200,100000,15,62.114528
400,100000,15,60.936535
800,100000,15,64.572218
1600,100000,15,61.146474
3200,100000,15,66.770983
6400,100000,15,66.721064
12800,100000,15,69.964395
25600,100000,15,61.222053
51200,100000,15,91.210725
102400,100000,15,186.001149
204800,100000,15,172.037849
409600,100000,15,166.275713
819200,100000,15,163.265649
50,200000,15,147.772124
100,200000,15,150.473809
200,200000,15,128.089141
400,200000,15,129.467277
800,200000,15,135.616634
1600,200000,15,144.798915
3200,200000,15,146.416848
6400,200000,15,144.338449
12800,200000,15,129.529791
25600,200000,15,154.81209
51200,200000,15,122.707229
102400,200000,15,170.369997
204800,200000,15,280.362365
409600,200000,15,285.981276
819200,200000,15,277.638751
50,300000,15,203.201716
100,300000,15,221.607799
200,300000,15,199.592158
400,300000,15,219.725344
800,300000,15,298.776847
1600,300000,15,216.165238
3200,300000,15,202.644676
6400,300000,15,204.118917
12800,300000,15,188.771882
25600,300000,15,197.405057
51200,300000,15,221.139402
102400,300000,15,191.383062
204800,300000,15,254.121809
409600,300000,15,422.920527
819200,300000,15,481.614443
50,400000,15,373.612768
100,400000,15,444.196249
200,400000,15,255.315665
400,400000,15,269.111947
800,400000,15,263.397397
1600,400000,15,260.030903
3200,400000,15,264.947683
6400,400000,15,258.721815
12800,400000,15,252.716616
25600,400000,15,249.639838
51200,400000,15,284.94604
102400,400000,15,257.899785
204800,400000,15,365.94858
409600,400000,15,560.093045
819200,400000,15,557.850892
50,500000,15,310.300185
100,500000,15,323.333221
200,500000,15,314.434592
400,500000,15,316.387028
800,500000,15,315.271083
1600,500000,15,312.15465
3200,500000,15,333.715889
6400,500000,15,335.933782
12800,500000,15,339.122062
25600,500000,15,358.108978
51200,500000,15,340.800644
102400,500000,15,366.002698
204800,500000,15,325.055658
409600,500000,15,470.641146
819200,500000,15,740.584919
50,600000,15,571.129791
100,600000,15,586.24076
200,600000,15,381.027826
400,600000,15,370.020938
800,600000,15,380.7689
1600,600000,15,403.005678
3200,600000,15,404.290041
6400,600000,15,433.695083
12800,600000,15,526.866641
25600,600000,15,440.428071
51200,600000,15,402.407585
102400,600000,15,385.30639
204800,600000,15,372.399318
409600,600000,15,553.12819
819200,600000,15,869.440106
50,700000,15,436.025409
100,700000,15,437.526709
200,700000,15,446.060045
400,700000,15,434.698593
800,700000,15,451.01788
1600,700000,15,453.146198
3200,700000,15,433.696015
6400,700000,15,447.611264
12800,700000,15,442.646431
25600,700000,15,470.12656
51200,700000,15,531.043501
102400,700000,15,563.888749
204800,700000,15,437.094234
409600,700000,15,716.001952
819200,700000,15,1345.526145
50,800000,15,561.712844
